OBJECTID,YeshuvName,Dunam,AnafName,AnafSub,GrowthEng,CoverTypeE,kWh/kPW,Muni_Eng,Machoz,area_sqm (GIS),Energy production (tracking) mln kWh/year,Energy production (fix) mln kWh/year,Energy production (tracking) mln kWh/year,Energy production (fix) mln kWh/year,Potential revenue fron energy production (tracking) mln NIS,Potential revenue fron energy production (fix) mln NIS,Feasability to install PVs?,Average influence of PV on crops,Average KG per dunham,"Average price per KG, NIS","Potential revenue from crops before PV, mln NIS","Potential revenue from crops after PV, mln NIS",Added value on income from crops after PV (mln NIS),"Total revenue, mln NIS","added value from PV, mln NIS"
110,vineyard בן זמרה,18.40,plantations,deciduous,Plantations,Open Area,1805,Merom Hagalil,North,18412.40,2.89,1.96,2.889444,1.959508,0.8668332,0.5878524,1,1,1000,8,0.1472,0.1472,0,0.32346096,0.17626096
498,vineyard בן זמרה,5.01,plantations,deciduous,Plantations,Open Area,1785,Merom Hagalil,North,5011.70,0.78,0.53,0.778269291,0.527791818,0.233480787,0.158337545,1,1,1000,8,0.040092433,0.040092433,0,0.087390478,0.047298045
563,vineyard בן זמרה,8.88,plantations,deciduous,Plantations,Open Area,1785,Merom Hagalil,North,8883.30,1.38,0.94,1.379491557,0.935517263,0.413847467,0.280655179,1,1,1000,8,0.071064313,0.071064313,0,0.154900659,0.083836346
601,vineyard בן זמרה,6.44,plantations,deciduous,Plantations,Open Area,1785,Merom Hagalil,North,6444.48,1.00,0.68,1.000767013,0.678681077,0.300230104,0.203604323,1,1,1000,8,0.051554371,0.051554371,0,0.112374352,0.060819981
334,"vineyard מהר""ל",6.10,plantations,olives,Plantations,Open Area,1715,Hof Hacarmel,Haifa,6121.66,0.91,0.62,0.9101505,0.6172285,0.27304515,0.18516855,1,1,1000,8,0.0488,0.0488,0,0.10334742,0.05454742
226,אבו סנאן,6.55,plantations,olives,Plantations,Open Area,1725,Abu Snan,North,6548.17,0.98,0.67,0.982675176,0.666411901,0.294802553,0.19992357,1,1,1000,8,0.052383151,0.052383151,0,0.111399319,0.059016168
279,אבו קורינאת,23.10,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1885,Neve Midbar,South,23093.40,3.79,2.57,3.7882845,2.5690665,1.13648535,0.77071995,1,1,2000,5,0.231,0.231,0,0.44688798,0.21588798
979,אבו תלול,15.90,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1875,Neve Midbar,South,15889.10,2.59,1.76,2.5936875,1.7589375,0.77810625,0.52768125,1,1,2000,5,0.159,0.159,0,0.3064725,0.1474725
684,אביאל,4.40,plantations,deciduous,Plantations,Open Area,1725,Alona,Haifa,4361.39,0.65,0.44,0.66033,0.44781,0.198099,0.134343,1,1,1000,8,0.0352,0.0352,0,0.0748572,0.0396572
991,אביאל,6.70,field crops,field crops general,Vegetables & field crops in uncovered area,Open Area,1725,Alona,Haifa,6739.09,1.01,0.69,1.0055025,0.6818925,0.30165075,0.20456775,1,1.04,2000,2,0.0268,0.027872,0.001072,0.0985503,0.0706783
740,אביבים,3.11,plantations,deciduous,Plantations,Open Area,1805,Merom Hagalil,North,3113.11,0.49,0.33,0.488852505,0.331520664,0.146655752,0.099456199,1,1,1000,8,0.02490413,0.02490413,0,0.054724958,0.029820828
201,אביחיל,6.15,others,open area crops,Vegetables & field crops in uncovered area,Open Area,1765,Emek Hefer,Center,6153.68,0.94,0.64,0.944909573,0.640800745,0.283472872,0.192240223,1,1,2000,5,0.061535578,0.061535578,0,0.113817436,0.052281858
153,אביחיל,4.68,citrus,peelables,Citrus,Open Area,1765,Emek Hefer,Center,4680.74,0.72,0.49,0.718736818,0.487419221,0.215621045,0.146225766,1,1.03,4000,6,0.112335539,0.115705605,0.003370066,0.127913669,0.012208065
994,אביטל,8.40,vegetables,general vegetables,Vegetables & field crops in uncovered area,Open Area,1745,Hagilbo'a,North,8400.04,1.28,0.86,1.275246,0.864822,0.3825738,0.2594466,1,1.1,2000,5,0.084,0.0924,0.0084,0.15921864,0.06681864
203,אביטל,6.60,citrus,grapefruits,Citrus,Open Area,1745,Hagilbo'a,North,6610.37,1.00,0.68,1.001979,0.679503,0.3005937,0.2038509,1,1.03,4000,4,0.1056,0.108768,0.003168,0.14680116,0.03803316
539,אביטל,53.60,vegetables,periodic spices and herbs,Vegetables & field crops in uncovered area,Open Area,1745,Hagilbo'a,North,53644.80,8.14,5.52,8.137284,5.518388,2.4411852,1.6555164,1,1.1,2000,3,0.3216,0.35376,0.03216,0.87446256,0.52070256
470,אבן יהודה,8.84,vegetables,general vegetables,Vegetables & field crops in uncovered area,Open Area,1765,Even Yehuda,Center,8838.15,1.36,0.92,1.357113584,0.920341396,0.407134075,0.276102419,1,1.1,2000,5,0.088379641,0.097217606,0.008837964,0.168771531,0.071553925
451,אבן מנחם,4.90,plantations,deciduous,Plantations,Open Area,1745,Ma'ale Yosef,North,4940.90,0.75,0.51,0.7438935,0.5044795,0.22316805,0.15134385,1,1,1000,8,0.0392,0.0392,0,0.08405754,0.04485754
479,אבן מנחם,0.60,flowers,flowers nursery,Flowers,Greenhouse,1745,Ma'ale Yosef,North,629.12,0.10,0.06,0.091089,0.061773,0.0273267,0.0185319,1,1.05,500,20,0.006,0.0063,0.0003,0.01119276,0.00489276
757,אבן מנחם,4.38,non-processed,non-processed,Not cultivated,Open Area,1735,Ma'ale Yosef,North,4383.68,0.66,0.45,0.661667942,0.44871734,0.198500383,0.134615202,1,1,0,0,0,0,0,0.053846081,0.053846081
224,אבני איתן,3.25,plantations,deciduous,Plantations,Open Area,1775,Golan,North,3247.54,0.50,0.34,0.501511299,0.340105363,0.15045339,0.102031609,1,1,1000,8,0.025980835,0.025980835,0,0.056401144,0.03042031
918,אדירים,7.80,vegetables,general vegetables,Vegetables & field crops in uncovered area,Open Area,1745,Hagilbo'a,North,7810.92,1.19,0.8,1.184157,0.803049,0.3552471,0.2409147,1,1.1,2000,5,0.078,0.0858,0.0078,0.14784588,0.06204588
